Iteration	#RemainLeaves	RTL	PrunedLeaf
1	499	0.999987810190	P01926_2
2	498	0.999975620381	P14387_2
3	497	0.999963430571	P18972_1
4	496	0.999951240762	P20018_1
5	495	0.999939050952	P21379_1
6	494	0.999926861142	P61947_2
7	493	0.999914671333	P67821_3
8	492	0.999902481523	P68077_2
9	491	0.999890291714	Q28356_3
10	490	0.999878101904	Q6WN27_3
11	489	0.999865912094	Q9DF25_1
12	488	0.999853722285	Q9TS35_2
13	487	0.999841302479	B3EWC7_1
14	486	0.999828882673	D0VX09_1
15	485	0.999816462867	P01929_1
16	484	0.999804043061	P01934_1
17	483	0.999791623255	P01968_1
18	482	0.999779203449	P01975_1
19	481	0.999766783643	P01987_2
20	480	0.999754363837	P01991_1
21	479	0.999741944031	P01992_1
22	478	0.999729524225	P01998_1
23	477	0.999717104419	P02028_1
24	476	0.999704684613	P02032_1
25	475	0.999692264807	P04246_1
26	474	0.999679845001	P08256_1
27	473	0.999667425195	P08850_2
28	472	0.999655005389	P0CH25_1
29	471	0.999642585583	P10778_1
30	470	0.999630165777	P11750_2
31	469	0.999617745971	P21201_1
32	468	0.999605326165	P24660_1
33	467	0.999592906359	P29624_1
34	466	0.999580486553	P41328_1
35	465	0.999568066747	P61920_2
36	464	0.999555646941	P63107_2
37	463	0.999543227135	P68014_1
38	462	0.999530807329	P68052_1
39	461	0.999518387523	P68065_1
40	460	0.999505967717	P68871_2
41	459	0.999493547911	P80043_1
42	458	0.999481128105	Q9TSN7_3
43	457	0.999468708299	Q9TVA3_3
44	456	0.999456288493	Q9XSE9_3
45	455	0.999443638690	D0VX08_1
46	454	0.999430988888	P01923_1
47	453	0.999418339086	P01958_2
48	452	0.999405689283	P01959_3
49	451	0.999393039481	P01966_2
50	450	0.999380389678	P01988_2
51	449	0.999367739876	P01989_2
52	448	0.999355090073	P01994_2
53	447	0.999342440271	P02025_1
54	446	0.999329790469	P02029_1
55	445	0.999317140666	P02030_1
56	444	0.999304490864	P02035_1
57	443	0.999291841061	P02084_1
58	442	0.999279191259	P02085_1
59	441	0.999266541457	P02112_2
60	440	0.999253891654	P04238_1
61	439	0.999241241852	P06636_2
62	438	0.999228592049	P06890_2
63	437	0.999215942247	P07415_1
64	436	0.999203292445	P07417_2
65	435	0.999190642642	P08260_1
66	434	0.999177992840	P09423_2
67	433	0.999165343037	P10885_1
68	432	0.999152693235	P15449_1
69	431	0.999140043433	P18970_2
70	430	0.999127393630	P18976_1
71	429	0.999114743828	P18985_1
72	428	0.999102094025	P18986_1
73	427	0.999089444223	P18988_2
74	426	0.999076794420	P18995_2
75	425	0.999064144618	P21766_1
76	424	0.999051494816	P21767_1
77	423	0.999038845013	P23601_1
78	422	0.999026195211	P30893_1
79	421	0.999013545408	P33499_1
80	420	0.999000895606	P60523_1
81	419	0.998988245804	P60530_2
82	418	0.998975596001	P61772_2
83	417	0.998962946199	P63109_2
84	416	0.998950296396	P63110_1
85	415	0.998937646594	P67815_1
86	414	0.998924996792	P67817_2
87	413	0.998912346989	P67822_1
88	412	0.998899697187	P68048_2
89	411	0.998887047384	P68054_1
90	410	0.998874397582	P68222_2
91	409	0.998861747780	P69905_2
92	408	0.998849097977	P81023_2
93	407	0.998836448175	Q1AGS5_3
94	406	0.998823798372	Q28338_3
95	405	0.998811148570	Q28779_3
96	404	0.998786078961	P68050_1
97	403	0.998761009353	Q45XI9_3
98	402	0.998735709748	P67818_1
99	401	0.998653141038	P01924_1
100	400	0.998541592780	P02115_1
101	399	0.998399455001	P02094_2
102	398	0.998252717293	P02001_1
103	397	0.998105519592	P02008_2
104	396	0.997957861898	P67819_1
105	395	0.997809974208	P60529_1
106	394	0.997660476543	P04442_1
107	393	0.997510518886	P02097_1
108	392	0.997359641242	P08257_1
109	391	0.997208533603	P08223_2
110	390	0.997056965970	P01937_1
111	389	0.996905398338	P22740_2
112	388	0.996753140716	P02113_1
113	387	0.996600883094	P08852_1
114	386	0.996448395476	P08853_1
115	385	0.996295447865	P09422_1
116	384	0.996142270258	P01971_2
117	383	0.995989092650	Q9TSN8_3
118	382	0.995835685047	P07410_1
119	381	0.995682047446	P18975_2
120	380	0.995527489861	P09909_1
121	379	0.995372242286	P01928_2
122	378	0.995216764714	P23602_1
123	377	0.995061057146	P02047_1
124	376	0.994905349578	P07403_1
125	375	0.994749412014	P68046_1
126	374	0.994593014457	P10892_1
127	373	0.994436386904	P01961_3
128	372	0.994279759350	P23600_1
129	371	0.994123131797	Q9TSN9_3
130	370	0.993966274247	P63105_1
131	369	0.993809186701	P63111_2
132	368	0.993652099154	Q6WN25_3
133	367	0.993494781612	P09906_1
134	366	0.993337464069	P68059_1
135	365	0.993180146526	Q6WN21_3
136	364	0.993021908998	P08259_1
137	363	0.992863671469	P19885_2
138	362	0.992704743952	P08224_2
139	361	0.992545816434	P13557_2
140	360	0.992385508938	P07425_1
141	359	0.992224511453	P21768_1
142	358	0.992060754011	P18969_2
143	357	0.991896306580	P68064_2
144	356	0.991730479170	P62741_2
145	355	0.991562351796	P02038_1
146	354	0.991392844444	P01977_1
147	353	0.991222647102	P01967_1
148	352	0.991052219764	P02044_3
149	351	0.990881332434	P01933_1
150	350	0.990709755114	P01969_2
151	349	0.990538177794	P02026_1
152	348	0.990365910484	P08258_1
153	347	0.990192263197	P07402_1
154	346	0.990011486021	P01996_2
155	345	0.989830248852	P02091_3
156	344	0.989648091697	Q6WN26_3
157	343	0.989460414628	P14390_1
158	342	0.989269517610	P01936_1
159	341	0.989075860635	P83135_2
160	340	0.988875303768	P01954_1
161	339	0.988652897242	P23019_1
162	338	0.988420830867	P41330_2
163	337	0.988162084908	P16417_1
164	336	0.987888389183	P02117_1
165	335	0.987602963642	P01953_1
166	334	0.987315238136	P01938_2
167	333	0.987026362648	P04243_2
168	332	0.986726907326	P83134_1
169	331	0.986423312068	P01939_3
170	330	0.986117876839	P01995_1
171	329	0.985811061631	Q6WN20_3
172	328	0.985500566481	P68232_2
173	327	0.985189611338	P10893_1
174	326	0.984878656195	Q9TS34_2
175	325	0.984567471056	P07412_1
176	324	0.984255365931	P06635_2
177	323	0.983942570817	P02123_1
178	322	0.983627935732	P68011_1
179	321	0.983313300646	P83613_1
180	320	0.982997055586	P83131_2
181	319	0.982680580529	P41327_1
182	318	0.982362955491	Q6WN22_3
183	317	0.982044410466	P21871_2
184	316	0.981724485464	P61948_2
185	315	0.981404330464	Q6WN29_3
186	314	0.981083945469	P02031_1
187	313	0.980763100480	P02058_1
188	312	0.980439495535	P02004_1
189	311	0.980114050619	Q1AGS4_3
190	310	0.979788375706	P01986_2
191	309	0.979460400829	P84791_1
192	308	0.979128746009	P02042_2
193	307	0.978794791225	P02057_2
194	306	0.978460606445	P02061_1
195	305	0.978114921845	P19002_1
196	304	0.977766707284	P02016_3
197	303	0.977412972809	B3EWD6_1
198	302	0.977059008338	P02012_2
199	301	0.976702743903	P24589_2
200	300	0.976338429594	P01993_2
201	299	0.975963305453	P01972_1
202	298	0.975583351388	P0C238_2
203	297	0.975193277481	P82111_1
204	296	0.974797223667	P10057_1
205	295	0.974388980044	P01942_2
206	294	0.973980276428	P20244_1
207	293	0.973560992977	P24659_1
208	292	0.973132969663	P09105_2
209	291	0.972699656431	P20243_1
210	290	0.972260133297	P62363_1
211	289	0.971816470227	P04239_1
212	288	0.971368207229	P45718_1
213	287	0.970916494284	P11753_1
214	286	0.970462251380	P01990_2
215	285	0.970003408547	P02077_1
216	284	0.969544335717	Q95238_3
217	283	0.969080202967	P15166_1
218	282	0.968611470289	P68015_1
219	281	0.968136987700	P01956_1
